,Riders All Time in All Classes,Victories,2nd places,3rd places,Pole positions from '74 to 2022,Race fastest lap to 2022,World Championships,Victories,Country
245,WOOD Tommy,2.0,3.0,1.0,0.0,2.0,0.0,2,IT
246,RAMIREZ Marcos,2.0,2.0,4.0,2.0,2.0,0.0,2,IT
247,SAUL Eric,2.0,2.0,4.0,1.0,1.0,0.0,2,GB
248,MONNERET Pierre,2.0,2.0,4.0,0.0,2.0,0.0,2,ES
249,VITALI Maurizio,2.0,2.0,3.0,5.0,1.0,0.0,2,GB
250,WEST Anthony,2.0,2.0,2.0,0.0,1.0,0.0,2,GB
251,RUTTER Tony,2.0,2.0,1.0,2.0,1.0,0.0,2,IT
252,TAMADA Makoto,2.0,1.0,2.0,3.0,2.0,0.0,2,CZ
253,SCALVINI Gianluigi,2.0,1.0,2.0,2.0,2.0,0.0,2,FR
254,HUBERTS Jan,2.0,1.0,2.0,0.0,3.0,0.0,2,ES
255,CAÑELLAS Salvador,2.0,1.0,2.0,0.0,1.0,0.0,2,VE
256,SUZUKI Tatsuki,2.0,1.0,1.0,6.0,3.0,0.0,2,JP
257,MIDDELBURG Jack,2.0,1.0,1.0,2.0,1.0,0.0,2,IT
258,MASBOU Alexis,2.0,1.0,1.0,1.0,1.0,0.0,2,DE
259,GANDOSSI Alberto,2.0,1.0,1.0,0.0,2.0,0.0,2,ES
260,TORRONTEGUI Herri,2.0,0.0,4.0,0.0,1.0,0.0,2,NL
261,WHEELER Arthur,2.0,0.0,2.0,0.0,2.0,0.0,2,FR
262,MCCANDLESS Cromie,2.0,0.0,1.0,0.0,1.0,0.0,2,AU
263,PAWI Khairul Idham,2.0,0.0,0.0,0.0,1.0,0.0,2,GB
264,KASSNER Helmut,2.0,0.0,0.0,0.0,1.0,0.0,2,NL
265,VENTURI Remo,1.0,14.0,7.0,0.0,3.0,0.0,2,IE
266,CASANOVA Bruno,1.0,9.0,6.0,6.0,5.0,0.0,2,IE
267,MOLLOY Ginger,1.0,9.0,3.0,0.0,0.0,0.0,2,GB
268,WILLIAMS Peter,1.0,8.0,2.0,1.0,2.0,0.0,2,FI
269,FREYMOND Roland,1.0,6.0,3.0,0.0,1.0,0.0,2,IT
270,FERRI Romolo,1.0,6.0,0.0,0.0,4.0,0.0,2,JP
271,KOYAMA Tomoyoshi,1.0,5.0,3.0,0.0,0.0,0.0,2,JP
272,BRETT Jack,1.0,4.0,6.0,0.0,1.0,0.0,2,FR
273,COLEMAN Rod,1.0,4.0,6.0,0.0,1.0,0.0,2,IT
274,SCHURGERS Jos,1.0,4.0,6.0,0.0,0.0,0.0,2,JP
275,TOURNADRE Jean Louis,1.0,4.0,4.0,0.0,2.0,1.0,2,IT
276,LEGA Mario,1.0,4.0,4.0,0.0,1.0,1.0,2,IT
277,BRIGAGLIA Domenico,1.0,4.0,4.0,1.0,2.0,0.0,2,GB
278,GRAF Ulrich,1.0,4.0,4.0,1.0,0.0,0.0,2,ES
279,PREIN Stefan,1.0,3.0,4.0,2.0,5.0,0.0,2,ES
280,MINTER Derek,1.0,3.0,4.0,0.0,0.0,0.0,2,MT
281,VERMEULEN Chris,1.0,3.0,3.0,3.0,1.0,0.0,2,ES
282,BINDER Darryn,1.0,3.0,2.0,3.0,6.0,0.0,1,DE
283,BELL Artie,1.0,3.0,1.0,0.0,1.0,0.0,1,FR
284,ITO Fumio,1.0,3.0,0.0,0.0,2.0,0.0,1,NZ
285,KORHONEN Pentti,1.0,2.0,7.0,1.0,0.0,0.0,1,FR
286,WILLIAMS John,1.0,2.0,5.0,0.0,1.0,0.0,1,IE
287,SCHNEIDER Bert,1.0,2.0,5.0,0.0,0.0,0.0,1,IT
288,MARSOVSZKY Gyula,1.0,2.0,5.0,0.0,0.0,0.0,1,CZ
289,AOKI Nobuatsu,1.0,2.0,4.0,1.0,1.0,0.0,1,JP
290,CHEVALLIER Olivier,1.0,2.0,4.0,1.0,0.0,0.0,1,GB
291,MCCONNACHIE Ian,1.0,2.0,4.0,1.0,0.0,0.0,1,NZ
292,SPIES Ben,1.0,2.0,3.0,1.0,1.0,0.0,1,IT
293,NORTH Alan,1.0,2.0,2.0,6.0,1.0,0.0,1,GB
294,LUCCHI Marcellino,1.0,2.0,2.0,3.0,1.0,0.0,1,DE
295,SELINI Jean Claude,1.0,2.0,2.0,2.0,1.0,0.0,1,SE
296,BOLLE Jacques,1.0,2.0,2.0,1.0,1.0,0.0,1,ZA
297,SIMEON Xavier,1.0,2.0,1.0,2.0,1.0,0.0,1,NL
298,VAN DULMEN Boet,1.0,2.0,1.0,1.0,0.0,0.0,1,DE
299,SPAGGIARI Bruno,1.0,2.0,1.0,0.0,1.0,0.0,1,FR
300,KISSLING Jorge,1.0,2.0,0.0,0.0,0.0,0.0,1,DE
301,ZEELENBERG Wilco,1.0,1.0,9.0,1.0,1.0,0.0,1,JP
302,PUIG Alberto,1.0,1.0,7.0,0.0,1.0,0.0,1,IT
303,NIETO Pablo,1.0,1.0,6.0,3.0,5.0,0.0,1,GB
304,AHEARN Jack,1.0,1.0,6.0,0.0,0.0,0.0,1,NZ
305,AEGERTER Dominique,1.0,1.0,5.0,1.0,1.0,0.0,1,ES
306,MCWILLIAMS Jeremy,1.0,1.0,4.0,3.0,0.0,0.0,1,NL
307,NEWCOMBE Kim,1.0,1.0,4.0,0.0,1.0,0.0,1,IT
308,ESPARGARO Aleix,1.0,1.0,3.0,3.0,1.0,0.0,1,NL
309,CALDARELLA Benedicto,1.0,1.0,2.0,0.0,2.0,0.0,1,IT
310,TOBA Kaito,1.0,1.0,2.0,0.0,1.0,0.0,1,DE
311,TANAKA Kenjiro,1.0,1.0,2.0,0.0,0.0,0.0,1,JP
312,CONFORTI Pier Luigi,1.0,1.0,2.0,0.0,0.0,0.0,1,ES
313,GUILLEUX Herve,1.0,1.0,2.0,0.0,0.0,0.0,1,BE
314,OETTL Philipp,1.0,1.0,1.0,1.0,2.0,0.0,1,JP
315,CRAFAR Simon,1.0,1.0,1.0,1.0,2.0,0.0,1,AU
316,AGOSTINI Duilio,1.0,1.0,1.0,0.0,2.0,0.0,1,CH
317,CLUZEL Jules,1.0,1.0,1.0,0.0,1.0,0.0,1,DE
318,TORRES Jordi,1.0,1.0,1.0,0.0,1.0,0.0,1,US
319,BRUINS Jan,1.0,1.0,1.0,0.0,0.0,0.0,1,DE
320,FÜGNER Horst,1.0,1.0,1.0,0.0,0.0,0.0,1,DE
321,TOMIZAWA Shoya,1.0,1.0,0.0,2.0,0.0,0.0,1,AT
322,GUEVARA Izan,1.0,1.0,0.0,1.0,4.0,0.0,1,JP
323,NAGASHIMA Tetsuta,1.0,1.0,0.0,1.0,2.0,0.0,1,GB
324,CHANTRA Somkiat,1.0,1.0,0.0,0.0,2.0,0.0,1,ZA
325,LOI Livio,1.0,1.0,0.0,0.0,1.0,0.0,1,NZ
326,NEWBOLD John,1.0,1.0,0.0,0.0,1.0,0.0,1,FR
327,CREITH R.,1.0,1.0,0.0,0.0,0.0,0.0,1,NL
328,GOI Ivan,1.0,1.0,0.0,0.0,0.0,0.0,1,AR
329,FILICE Jim,1.0,1.0,0.0,0.0,0.0,0.0,1,IT
330,GUSTAFSSON Leif,1.0,1.0,0.0,0.0,0.0,0.0,1,IE
331,COLNAGO Giuseppe,1.0,1.0,0.0,0.0,0.0,0.0,1,IT
332,CASOLI Paolo,1.0,0.0,4.0,1.0,0.0,0.0,1,AT
